K values is: 3


Accurracy is: 0.7415730337078652

Predicted Target:
[1 1 0 1 0 1 1 0 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1
 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 1
 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1]

Real Target:
[1 0 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1
 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1]


Distances:
[(163, 0.963335997965696), (80, 1.2170174318974625), (158, 1.2177468018667532)]
[(17, 1.072348188501536), (23, 1.2601647997482972), (21, 1.2765703947455238)]
[(174, 1.0410504918007972), (110, 1.0523389190951342), (70, 1.0757133442106)]
[(147, 1.393145967329397), (132, 1.4242629507276674), (154, 1.466685453010211)]
[(176, 1.28020559410317), (174, 1.2830644572350467), (21, 1.294119680882892)]
[(154, 0.6684480914576814), (100, 0.7184739820059088), (70, 0.8121775023088665)]
[(87, 1.2047361129208576), (174, 1.3044893498801264), (61, 1.3290698819138602)]
[(47, 0.8325432241972031), (70, 0.9204518178871114), (174, 0.9446890833183662)]
[(10, 0.6917470150894027), (131, 0.8536569303306764), (115, 0.9032326485929906)]
[(142, 0.8750659135828646), (41, 0.9948029520722302), (171, 1.0925556157309684)]
[(154, 0.7446142839481589), (100, 0.8139974012248335), (59, 0.8353204563949832)]
[(29, 1.1919168754701799), (134, 1.308617704785445), (136, 1.3221034496250423)]
[(61, 1.2202936221109488), (86, 1.5164039614582019), (162, 1.5865568351926282)]
[(15, 1.0532516904542286), (16, 1.0935241503630477), (134, 1.0956790231185285)]
[(55, 1.0467227001392114), (105, 1.1514603713565275), (5, 1.2535358974548476)]
[(174, 1.0344928095814891), (87, 1.068162743960475), (28, 1.0974841443850303)]
[(149, 3.6714662456913514), (1, 3.86584507586635), (18, 4.41704887157322)]
[(99, 3.281040659846756), (83, 4.433106126247982), (175, 4.440010161905391)]
[(49, 2.046145798581055), (164, 2.9057700835388474), (102, 3.1893183795756097)]
[(152, 0.8331857863626764), (131, 0.8622182666606046), (63, 0.9510893329586106)]
