K values is: 5


Accurracy is: 0.7303370786516854

Predicted Target:
[1 1 1 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1
 0 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 0 0 0 0 1 0 1 0 0 1 1 0 0 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0]

Real Target:
[1 1 1 0 1 0 1 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1
 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0]


Distances:
[(108, 0.4122703005665478), (132, 0.4225351773177861), (111, 0.4882833475552919), (25, 0.48863769429807175), (102, 0.49759125286863193)]
[(61, 0.4558687729503972), (177, 0.4637663634243824), (70, 0.48111894167626335), (120, 0.5004907039935752), (176, 0.5121293997032309)]
[(122, 1.219446337468282), (123, 1.380064663641366), (4, 1.3938960176731916), (54, 1.473058920953199), (114, 1.5694205466272737)]
[(23, 0.41589870471689605), (53, 0.46654345264681607), (124, 0.4694819582945098), (110, 0.4971905008671823), (24, 0.5102189487951384)]
[(153, 0.5258999043294572), (73, 0.7769200486376451), (99, 1.043049778457387), (107, 1.0905386023920682), (133, 1.0982050877785086)]
[(162, 0.22406073506616986), (11, 0.2981528765229545), (7, 0.3022556210056211), (132, 0.3082401626479767), (129, 0.3250433286113146)]
[(122, 1.400330569692239), (4, 1.4776721163329036), (8, 1.6128132322784703), (54, 1.6569057743298927), (74, 1.6677569710967988)]
[(13, 0.40475825489463707), (76, 0.41372505732842085), (177, 0.42117691905479043), (38, 0.4627585929385561), (61, 0.4775979868617279)]
[(38, 0.27885189888727613), (66, 0.29268507361719), (156, 0.34846660422491005), (70, 0.35410367239991924), (111, 0.40609326793032696)]
[(135, 0.17316844017930988), (55, 0.2797976802842471), (129, 0.31746374802106947), (113, 0.3411524617395211), (132, 0.3512692814051511)]
[(32, 0.19046508046508037), (38, 0.2669845905254026), (119, 0.3214326584819819), (143, 0.38282970553376605), (136, 0.3830555535421203)]
[(125, 0.272880049861182), (148, 0.28319407760445514), (32, 0.3203101569734055), (33, 0.3303591448377132), (34, 0.3372788082380985)]
[(140, 0.4785131760459899), (117, 0.4948864724192863), (138, 0.5312290969899667), (37, 0.5449620690925039), (90, 0.574995721134462)]
[(174, 0.2964968627442993), (117, 0.36608645091264047), (49, 0.39387309349009525), (86, 0.4192378631944875), (142, 0.4454648392476529)]
[(70, 0.44442421810653965), (11, 0.4895775862787758), (30, 0.4903721210324984), (61, 0.5059536006710945), (15, 0.5193918667831712)]
[(11, 0.2711048955183494), (38, 0.27474325085481766), (132, 0.28119218164337156), (135, 0.2893713704475601), (152, 0.3262416659971006)]
[(52, 0.3547184148163436), (40, 0.370866562632867), (148, 0.4066943301997651), (49, 0.4328437929473615), (158, 0.44734142737424143)]
[(85, 0.3574175514095532), (113, 0.38552398485284045), (143, 0.43980984956528435), (7, 0.4516854996284856), (152, 0.48358123315465384)]
[(54, 0.42134792843262897), (140, 0.47096399426024116), (115, 0.5773984653470914), (121, 0.590207564240583), (37, 0.7221638675417388)]
[(162, 0.2057070448374797), (129, 0.3251455943385805), (96, 0.3289826860289331), (135, 0.32936619252400656), (33, 0.37774035263729666)]
[(115, 0.4218329346810684), (0, 0.5393192608112625), (167, 0.5410359524192585), (116, 0.6256126410612671), (63, 0.6352791875376986)]
[(24, 0.2962217819826516), (105, 0.39523876794539214), (110, 0.4109391931213098), (84, 0.4594113176721873), (81, 0.501946917811356)]
[(0, 0.47057934547628966), (166, 0.47959385053160697), (37, 0.48112932488240134), (63, 0.4883262151689143), (86, 0.5116735549046871)]
[(154, 0.5644069181189773), (115, 0.803714439655785), (54, 0.8180743043084102), (167, 0.8273036706881047), (41, 0.8434258137657441)]
[(143, 0.29613650238393885), (124, 0.32415024422099925), (145, 0.32869731227093835), (80, 0.4243678935608799), (125, 0.4316170344241511)]
[(101, 0.5964896036394188), (87, 0.6283777584377461), (177, 0.6923629525752166), (134, 0.8049623676336145), (18, 0.8441439617506066)]
[(7, 0.31258338396925356), (91, 0.40533469589201754), (152, 0.4100650448912342), (70, 0.44503756004063644), (95, 0.4548369650492291)]
[(119, 0.2805492888373323), (145, 0.32143448146985887), (33, 0.4337514068384657), (46, 0.43930017676223554), (143, 0.4701889850505522)]
[(19, 0.6295215180710464), (141, 0.7250936695040466), (171, 0.7421435576660148), (101, 0.7526445546559369), (166, 0.7577839257822852)]
[(141, 0.5914267445491812), (154, 0.6617961210326881), (41, 0.7345294041438423), (37, 0.8326890378341364), (59, 0.8448450262908836)]
[(42, 0.15889285330323066), (13, 0.2818390436407251), (66, 0.2877636304348772), (38, 0.30945280781980933), (135, 0.3485969387384482)]
[(33, 0.25224671585828273), (45, 0.29803746681464094), (34, 0.33463807737187534), (28, 0.34710543192905763), (3, 0.34933094682838317)]
[(54, 0.5560778463198479), (154, 0.6043216566017016), (41, 0.6071439290461031), (140, 0.7372713400517953), (74, 0.829228151054443)]
[(90, 0.4421130218689694), (86, 0.49094873518530213), (142, 0.5145493976338932), (68, 0.5149502101568344), (121, 0.5325336903761844)]
[(113, 0.31134241967404375), (170, 0.3245084354405522), (29, 0.32663794580375793), (165, 0.330456908405534), (69, 0.37817780087622177)]
[(27, 1.4043674872812488), (147, 1.4500052492228457), (16, 1.5311076798228151), (73, 1.5367155108269754), (6, 1.5861216934894131)]
[(29, 0.2799133213402082), (136, 0.28695811831425067), (88, 0.32721976089644267), (102, 0.34072898642474114), (39, 0.3488379867214979)]
[(32, 0.23061884978466207), (38, 0.2386826730576731), (34, 0.29834222750547634), (66, 0.35222107006356407), (162, 0.4085650499919371)]
[(26, 0.791887470743603), (99, 0.8557021904847992), (85, 0.9492113010104193), (47, 0.9804522103112138), (137, 1.028449246400436)]
[(27, 0.6170500336425276), (138, 0.827131544998649), (60, 0.8786551713889695), (133, 0.9481511948308503), (37, 0.9498500243475633)]
[(140, 0.4749885721763286), (90, 0.5309318279755115), (117, 0.5821510662789376), (86, 0.6160520115385784), (166, 0.6859365064881884)]
[(46, 0.24894099157686123), (33, 0.38962489663576616), (148, 0.394530781609842), (91, 0.4094149138252915), (165, 0.4192098592724105)]
[(41, 0.5732734072654089), (141, 0.6188768703391345), (140, 0.6825327887125466), (154, 0.7218112784094122), (116, 0.8084266942290935)]
[(34, 0.2406045315366483), (170, 0.26857706301461437), (129, 0.2745423719690536), (162, 0.4060761534946318), (92, 0.415474543768227)]
[(155, 1.6289719464447725), (144, 1.6605228880833884), (1, 1.7146613559985173), (75, 1.8943821268498255), (123, 1.9577961523870053)]
[(8, 0.6040241328284806), (60, 0.6733931869965504), (97, 0.7490147686968852), (16, 0.9406098678899129), (127, 0.9562378355748946)]
[(124, 0.276621374048056), (143, 0.3067728668436216), (80, 0.31254054430684874), (125, 0.31470858265977253), (5, 0.3182754152919247)]
[(123, 0.7708716264617617), (157, 0.789189277069712), (8, 1.061540059455872), (122, 1.1797611695196808), (74, 1.285135830204534)]
[(130, 0.47041320308444984), (137, 0.5530022574398088), (26, 0.5628653151479237), (138, 0.5738684518114379), (37, 0.5959347572473084)]
[(40, 0.2434184595951414), (143, 0.329393832961819), (124, 0.3710032259652851), (148, 0.37341428736270843), (158, 0.37361542152046656)]
[(76, 0.4918402251718496), (128, 0.5196281184873267), (138, 0.5287589653924767), (19, 0.5515090968895316), (48, 0.5586374830452969)]
[(29, 0.2500318170129493), (136, 0.2995060626664401), (125, 0.31723044465712613), (160, 0.336486245269059), (88, 0.34888175943344124)]
[(18, 0.26858729556842753), (130, 0.29735478999065945), (15, 0.3085867877879771), (100, 0.3716786595944719), (102, 0.39145114252733193)]
[(142, 0.3106312738244651), (53, 0.33281006131549606), (80, 0.34689296528970437), (23, 0.4300827724771531), (21, 0.46629367811997025)]
[(125, 0.21300123216704414), (51, 0.2739559766272236), (40, 0.31696042278948344), (102, 0.32305538263700695), (148, 0.32508829564561725)]
[(130, 0.48421049468885824), (36, 0.5646464756467834), (152, 0.5768869226154912), (102, 0.5901670964442703), (12, 0.5976230976748818)]
[(34, 0.2359570642533112), (129, 0.3409659757567879), (162, 0.34823424176685036), (33, 0.36379009385008154), (32, 0.3704017982771062)]
[(125, 0.273647479750843), (55, 0.29132592458679407), (38, 0.2950732742744636), (32, 0.2978840393052863), (11, 0.33191917678074356)]
[(90, 0.513897294783267), (112, 0.5205077431820664), (171, 0.5980657099407098), (86, 0.6084397547907597), (142, 0.6090628353159117)]
[(130, 0.31229401934590617), (142, 0.38277565826222537), (118, 0.3865289140263507), (152, 0.41682059994303644), (102, 0.4235580271695939)]
[(90, 0.23048943316068027), (138, 0.47109770380432825), (174, 0.47966718473537606), (166, 0.49577079319491146), (48, 0.5244074439808648)]
[(177, 0.8930642183800511), (61, 1.035971818864046), (13, 1.0964654202302888), (21, 1.127390134660438), (70, 1.1485998853810584)]
[(45, 0.2768040385703431), (148, 0.3224961381918934), (28, 0.3235872188999753), (3, 0.33295930344587066), (33, 0.33374656436900085)]
[(172, 1.2161700796919215), (144, 1.3016374432740305), (123, 1.73420445402808), (157, 1.9610509767908253), (4, 2.037532663405818)]
[(68, 0.48561017890642566), (53, 0.49549163510863675), (166, 0.5390835177955768), (121, 0.556887352819469), (90, 0.5612377652625806)]
[(129, 0.32958968382625053), (65, 0.35120346742116615), (34, 0.447385168187055), (162, 0.4645697531080014), (96, 0.4762059468283837)]
[(158, 0.24771172166834576), (104, 0.29542197858235586), (148, 0.3205805206512755), (3, 0.35010707621864334), (36, 0.3648517728383396)]
[(91, 0.29111245166413324), (129, 0.33570149663925275), (46, 0.3666970280449565), (132, 0.4072200373292457), (34, 0.4240318427849191)]
[(135, 0.25673916257078677), (5, 0.26150320194618815), (55, 0.28542768035436206), (152, 0.2861974238389333), (125, 0.29441751885506995)]
[(24, 0.27335970384627073), (138, 0.3965976233695676), (174, 0.40214185481310183), (17, 0.41514371694847496), (63, 0.4353092893012911)]
[(38, 0.3254551960776325), (66, 0.36078834620415845), (13, 0.3744007964470435), (42, 0.40211813753394954), (111, 0.4039322474648561)]
[(19, 0.41377896290939775), (139, 0.5320243334455804), (18, 0.5677583095574275), (131, 0.5710656225576245), (100, 0.5866767633728258)]
[(123, 0.633020279303093), (16, 0.717966584974891), (6, 0.7805832012440913), (126, 0.8985025182230884), (78, 0.9368270496075048)]
[(138, 0.331213909056403), (90, 0.4460997236351011), (130, 0.4659735056094779), (27, 0.5073590509326769), (24, 0.5120072018364676)]
[(117, 0.3535329658237779), (100, 0.3773069000406981), (166, 0.4348210411064184), (93, 0.43483239794663087), (12, 0.48371122242328146)]
[(72, 0.4599163419272112), (109, 0.48429372457110376), (113, 0.5168434062809577), (77, 0.5290289140263507), (159, 0.5319852050968745)]
[(12, 0.30662174582293533), (36, 0.36872909004164134), (174, 0.3755561973281418), (53, 0.3920817849622197), (117, 0.4095677701902066)]
[(90, 0.355337294565658), (37, 0.38522812251893446), (63, 0.40349419519538454), (166, 0.44144354856055024), (138, 0.46294660186784875)]
[(94, 0.3063264603184619), (111, 0.3689360459089749), (128, 0.3919027863131639), (9, 0.4405133959999632), (15, 0.46001728751216076)]
[(92, 0.32297220297220286), (91, 0.3273589866606682), (129, 0.3840432636602653), (72, 0.40196419821727436), (109, 0.4136752116617787)]
[(138, 0.30073660340785036), (53, 0.34200300516645876), (130, 0.37716482510781124), (137, 0.45261729053310273), (15, 0.4628709555693762)]
[(162, 0.25379296729840206), (143, 0.30007346326101436), (135, 0.33476760355041735), (96, 0.35639533906658627), (55, 0.36342924394862464)]
[(37, 0.6666156353630719), (12, 0.6782132852626086), (63, 0.7173354117432256), (140, 0.7196292062950187), (138, 0.7222304893474909)]
[(51, 0.21435104351685574), (42, 0.4033150103233164), (102, 0.4115914751676647), (175, 0.4238165932623479), (49, 0.4289750487930347)]
[(32, 0.2672621973980668), (162, 0.3019827082004072), (38, 0.30277340818922027), (135, 0.3493603498115393), (34, 0.3631910451342366)]
[(10, 0.965115030077089), (74, 1.0277324002000991), (123, 1.0326834995056897), (22, 1.3050544828052006), (6, 1.409425201097166)]
[(170, 0.2010177101835222), (109, 0.29712395723008944), (65, 0.3837209722264072), (92, 0.38444733629003525), (35, 0.385370274120274)]
[(103, 0.3280242094100789), (65, 0.3315368477899241), (92, 0.35403255194836414), (129, 0.3819601012320454), (170, 0.3847451340878332)]
[(14, 0.3087154240281804), (102, 0.31083642312723525), (51, 0.3356472735277082), (5, 0.3412609474022519), (142, 0.38214807131388373)]
